Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C7",0603,3,47uF,C140782
"C10, C13, C5",0603,3,2.2uf,C5189830
"C11, C12",0603,2,15 pF,C107037
"C14, C6",0603,2,100nf,C5189821
C2,0603,1,1uf,C5189821
"C4, C9",0603,2,0.1uf,C14663
C8,0603,1,22uf,C48579267
"D1, D2, D3, D4",D_SOD-523,4,ESD,SOD523
J5,TestPoint_Pad_D2.0mm,1,Button GND Pad,
J9,PinHeader_1x04_P1.27mm_Vertical_SMD_Pin1Left,1,Button Socket,
LED1,0603,1,LED 33V,C965807
"LED3, LED5",0603,2,LED RP5,C965807
R1,0603,1,10k,C98220
"R2, R5",0603,2,1k,C22548
"R3, R6, R8",0603,3,500,C860931
"S1, S2",push_button_SKRPABE010,2,SKRPABE010,C115360
U1,SOT-223,1,SPX1117M3-L-3-3/TR,C6862
"U2, U5",WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,2,W25Q128JVE,C401662
U3,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N8R8,C2913201
U4,rp2040,1,RP2040,C2040
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHZ,C9002
