Designator,Mid X,Mid Y,Rotation,Layer
_8,212.8176,-124.0316,0.0,top
_7,143.8176,-124.0316,0.0,top
_6,189.8176,-79.181599,0.0,top
_5,212.8176,-75.0316,0.0,top
_4,143.8176,-75.0316,0.0,top
_3,189.8176,-102.681599,0.0,top
_2,166.8176,-102.681599,0.0,top
,166.8176,-79.181599,0.0,top
C1,158.725,-93.2,180.0,bottom
C10,197.371,-99.314,180.0,bottom
C11,204.66,-108.559,90.0,bottom
C12,197.04,-109.36,270.0,bottom
C13,189.103,-84.1248,0.0,bottom
C14,189.0906,-85.852,0.0,bottom
C2,151.618,-115.443,180.0,bottom
C3,154.225,-102.1,180.0,top
C4,158.725,-91.45,180.0,bottom
C5,167.8,-89.0,0.0,bottom
C6,167.8,-90.75,0.0,bottom
C7,155.0,-92.4,270.0,bottom
C8,165.1,-117.843,270.0,bottom
C9,166.878,-117.856,270.0,bottom
D1,154.113,-105.537,180.0,top
D2,154.178,-103.886,0.0,top
D3,162.4638,-103.078999,180.0,bottom
D4,162.4638,-101.300999,180.0,bottom
LED1,207.85,-74.4,180.0,top
LED3,148.8125,-75.85,0.0,top
LED5,148.7999,-73.895,0.0,top
R1,148.018,-115.443,0.0,bottom
R2,196.151,-106.426,0.0,bottom
R3,194.875,-75.85,180.0,bottom
R5,207.4,-81.35,90.0,top
R6,206.265,-103.3042,0.0,bottom
R8,162.475,-104.831599,0.0,bottom
S3,169.067664,-115.0,0.0,top
S4,185.067536,-115.031599,0.0,top
S5,201.168,-114.9858,0.0,top
S6,150.817664,-115.0,0.0,top
SW1,157.65,-81.1,0.0,bottom
U1,157.65,-83.1,270.0,top
U2,175.4,-90.8,0.0,bottom
U3,178.2176,-113.11,180.0,bottom
U4,192.53349,-93.883333,45.0,bottom
U5,197.479,-81.423,0.0,bottom
Y1,200.723,-108.445,0.0,bottom
